Subject,Gender,Year,Number Sat,% of Total No. Sat,A*,A,B,C,D,E,F,G,U
Citizenship ,Female,2012,5692,0.2,3.5,17.2,27.9,25.1,13.9,6.4,3.5,1.5,1
Citizenship ,Female,2011,5080,0.2,3.8,16.8,27.3,24.1,14.8,7.3,3.2,1.8,0.9
Citizenship ,Male & Female,2012,10982,0.2,2.6,13.4,24.4,25.8,16.5,8.7,4.9,2.3,1.4
Citizenship ,Male & Female,2011,9279,0.2,2.7,12.9,24.3,25.3,16.5,9.6,4.8,2.5,1.4
Classical ,Male,2012,7912,0.3,31.3,26.3,18,11.9,7.4,3.2,1.2,0.4,0.3
Classical ,Male,2011,7433,0.3,33.1,25.8,17.2,12.3,6.6,2.8,1.3,0.6,0.3
Classical ,Female,2012,7353,0.3,37.1,28.2,17,9.6,4.9,1.7,0.9,0.4,0.2
Classical ,Female,2011,6839,0.3,37.6,27.3,17,9.6,4.9,2,1,0.4,0.2
Classical ,Male & Female,2012,15265,0.3,34.1,27.3,17.4,10.8,6.2,2.5,1.1,0.4,0.2
Classical ,Male & Female,2011,14272,0.3,35.2,26.6,17.1,11,5.8,2.4,1.1,0.5,0.3
Construction,Male,2012,653,0,2.5,20.6,29.4,23.5,14.2,6.4,2,0.6,0.8
Construction,Male,2011,668,0,2.8,16.2,33.5,22.6,12.2,4.5,2.5,1.5,4.2
Construction,Female,2012,18,0,11.1,38.9,38.9,11.1,0,0,0,0,0
Construction,Female,2011,34,0,11.8,23.5,23.5,11.8,11.8,5.8,0,8.9,2.9
Construction,Male & Female,2012,671,0,2.7,21.1,29.7,23.1,13.9,6.2,2,0.6,0.7
Construction,Male & Female,2011,702,0,3.3,16.5,33,22.1,12.1,4.6,2.4,1.9,4.1
Design & Tech.,Male,2012,136364,5.3,3.3,9.4,18.6,23.7,19.1,12.3,7.5,3.9,2.2
Design & Tech.,Male,2011,142868,5.6,3.2,9.5,18.9,23.2,18.5,12.5,7.6,4.1,2.5
Design & Tech.,Female,2012,104340,3.9,9,18,23.9,21.9,13.8,7.2,3.7,1.6,0.9
Design & Tech.,Female,2011,110756,4.2,8.7,18.1,24.1,21.2,13.1,7.5,4.2,1.9,1.2
Design & Tech.,Male & Female,2012,240704,4.6,5.8,13.1,20.9,22.9,16.8,10.1,5.9,2.8,1.7
Design & Tech.,Male & Female,2011,253624,4.9,5.6,13.3,21.1,22.4,16.1,10.3,6.1,3.2,1.9
Drama,Male,2012,29631,1.2,3.3,13.4,23.5,26,17.9,9.2,4.2,1.7,0.8
Drama,Male,2011,30895,1.2,3.6,14.1,23.5,25.7,17.6,8.8,4.2,1.6,0.9
Drama,Female,2012,46977,1.8,6.1,20.4,28.3,23.5,12.8,5.4,2.2,0.9,0.4
Drama,Female,2011,49960,1.9,6.4,20.7,28.9,23,12.1,5.2,2.3,1,0.4
Drama,Male & Female,2012,76608,1.5,5,17.7,26.4,24.5,14.8,6.9,2.9,1.2,0.6
Drama,Male & Female,2011,80855,1.6,5.3,18.2,26.9,24,14.2,6.6,3,1.2,0.6
Economics,Male,2012,2666,0.1,8.6,25,29,17.9,8.5,5,3,1.4,1.6
Economics,Male,2011,2596,0.1,5,24.1,31.6,19.7,9.4,4.5,2.8,1.3,1.6
Economics,Female,2012,1191,0,10.1,23.7,27.2,19.3,9,4.7,3.1,1.7,1.2
Economics,Female,2011,1077,0,5.2,21.7,33.4,19.6,8.3,5.1,3.5,1.6,1.6
Economics,Male & Female,2012,3857,0.1,9.1,24.6,28.4,18.4,8.6,4.9,3,1.5,1.5
Economics,Male & Female,2011,3673,0.1,5.1,23.4,32,19.7,9.1,4.7,3,1.4,1.6
Engineering,Male,2012,1998,0.1,1.3,5.7,15.8,21.9,20.3,15.1,10.8,5.2,3.9
Engineering,Male,2011,1698,0.1,0.9,6.8,14.7,21.7,22,14.9,10,5.9,3.1
Engineering,Female,2012,130,0,11.5,24.7,26.1,15.4,9.2,5.4,4.6,1.6,1.5
Engineering,Female,2011,152,0,12.5,18.4,21.1,21,12.5,7.9,2.7,2.6,1.3
Engineering,Male & Female,2012,2128,0,1.9,6.9,16.4,21.6,19.5,14.6,10.4,5,3.7
Engineering,Male & Female,2011,1850,0,1.8,7.8,15.3,21.6,21.2,14.4,9.4,5.5,3
English,Male,2012,338613,13.2,2.1,8.5,17.4,28.7,23.9,11.8,5.1,1.6,0.9
English,Male,2011,333434,13.2,3.3,9.1,17.6,28.7,22.9,10.3,4.6,1.9,1.6
English,Female,2012,330921,12.4,4.6,14.9,23.6,28.2,18,6.9,2.5,0.8,0.5
English,Female,2011,316119,12.1,6.2,15.2,23.1,28,17.3,6.1,2.1,1,1
English,Male & Female,2012,669534,12.8,3.4,11.6,20.5,28.4,21,9.4,3.8,1.2,0.7
English,Male & Female,2011,649553,12.6,4.7,12.1,20.2,28.4,20.2,8.2,3.4,1.5,1.3
English Literature,Male,2012,221578,8.6,4,13.4,25.5,26.9,17.1,7.4,3.3,1.4,1
English Literature,Male,2011,231306,9.1,4.3,14.8,26.5,26.7,15.6,6.7,2.6,1.2,1.6
English Literature,Female,2012,246618,9.3,7.4,20.9,30.3,23.5,11.3,3.9,1.5,0.7,0.5
English Literature,Female,2011,258750,9.9,7.9,22.4,30.4,23.2,10.2,3.4,1.1,0.5,0.9
English Literature,Male & Female,2012,468196,9,5.8,17.4,28,25.1,14,5.6,2.3,1,0.8
English Literature,Male & Female,2011,490056,9.5,6.2,18.8,28.6,24.8,12.8,4.9,1.8,0.8,1.3
French,Male,2012,64239,2.5,8.5,13.5,19.2,25,19.4,9,3.9,1.2,0.3
French,Male,2011,63980,2.5,8,14.1,20,24.6,18.2,9.3,4,1.4,0.4
French,Female,2012,89197,3.4,12.2,17.2,22,24.3,15.4,6,2.1,0.6,0.2
French,Female,2011,90241,3.4,11.9,18.2,23.3,23.1,14.4,6,2.1,0.7,0.3
French,Male & Female,2012,153436,2.9,10.7,15.6,20.9,24.5,17.1,7.2,2.9,0.8,0.3
French,Male & Female,2011,154221,3,10.2,16.6,21.9,23.8,15.9,7.4,2.9,1,0.3
Geography,Male,2012,103781,4,7,16.5,19.9,22.3,17.1,9.1,4.8,2.3,1
Geography,Male,2011,100353,4,7.9,16,19.4,22.7,16.8,8.8,4.8,2.5,1.1
Geography,Female,2012,83241,3.1,12.8,21.5,21.2,19.5,12.5,6.5,3.6,1.7,0.7
Geography,Female,2011,80384,3.1,13.4,21,20.8,19.9,12.5,6.5,3.4,1.7,0.8
Geography,Male & Female,2012,187022,3.6,9.6,18.7,20.4,21.2,15,8,4.2,2,0.9
Geography,Male & Female,2011,180737,3.5,10.4,18.2,20,21.5,14.8,7.8,4.2,2.1,1
German,Male,2012,27248,1.1,7.9,13.7,21.7,27.2,18,7.3,2.9,1,0.3
German,Male,2011,28542,1.1,7.5,13.9,22.7,26.5,17.1,7.6,3.1,1.1,0.5
German,Female,2012,30299,1.1,11.1,18.2,24.9,25.9,13.3,4.5,1.5,0.5,0.1
German,Female,2011,32345,1.2,10.6,18.3,26.1,25.4,12.8,4.4,1.6,0.6,0.2
German,Male & Female,2012,57547,1.1,9.6,16.1,23.3,26.6,15.5,5.8,2.2,0.7,0.2
German,Male & Female,2011,60887,1.2,9.1,16.2,24.6,25.9,14.8,5.9,2.3,0.9,0.3
Health & Social Care,Male,2012,479,0,0,2.3,8.8,19.4,19,17.3,16.7,11.3,5.2
Health & Social Care,Male,2011,464,0,0.6,2,11.2,19.2,18.9,17.9,15.8,10.1,4.3
Health & Social Care,Female,2012,7698,0.3,1.7,8.6,19.8,25.5,18.1,11.9,7.8,4.5,2.1
Health & Social Care,Female,2011,8723,0.3,1.6,8.4,19,23.6,17.7,12.8,9,5.3,2.6
Health & Social Care,Male & Female,2012,8177,0.2,1.6,8.2,19.2,25.1,18.2,12.2,8.4,4.8,2.3
Health & Social Care,Male & Female,2011,9187,0.2,1.5,8.1,18.7,23.3,17.7,13.1,9.4,5.5,2.7
History,Male,2012,112942,4.4,8.4,17.1,21.1,19.7,14.2,8.7,5.5,3.3,2
History,Male,2011,110426,4.4,8.8,17.5,21.1,19.3,13.8,8.5,5.5,3.3,2.2
History,Female,2012,110041,4.1,13.1,21.2,21.7,17.7,11.7,7,4.2,2.2,1.2
History,Female,2011,108162,4.1,13.8,21.4,21.5,17.3,11.5,6.9,4.1,2.2,1.3
History,Male & Female,2012,222983,4.3,10.7,19.2,21.4,18.6,13,7.9,4.9,2.7,1.6
History,Male & Female,2011,218588,4.2,11.3,19.4,21.3,18.4,12.6,7.7,4.8,2.8,1.7
Home Economics,Male,2012,5037,0.2,1,6,16.9,24.9,20.1,15.1,9.6,4.6,1.8
Home Economics,Male,2011,4952,0.2,0.4,5.2,15.6,23.8,21,15.8,10.9,5.2,2.1
Home Economics,Female,2012,31657,1.2,3.4,11.7,21.6,23.5,17.9,11.6,6.4,2.6,1.3
Home Economics,Female,2011,33088,1.3,3.2,12.1,21.7,23.1,17.6,11.5,6.3,2.9,1.6
Home Economics,Male & Female,2012,36694,0.7,3.1,10.9,21,23.6,18.2,12.1,6.8,2.9,1.4
Home Economics,Male & Female,2011,38040,0.7,2.8,11.3,20.9,23.2,18,12,6.9,3.2,1.7
Hospitality,Male,2012,778,0,0.1,5,16.1,24.3,25.5,14.5,7.8,3.4,3.3
Hospitality,Male,2011,529,0,0.4,2.2,15,25.9,22.1,16.8,10,5,2.6
Hospitality,Female,2012,1047,0,6.1,14.7,24.9,23.3,17.9,6.8,2.4,2.3,1.6
Hospitality,Female,2011,746,0,3.8,12.4,21.3,30.5,15,9,4.6,2.2,1.2
Hospitality,Male & Female,2012,1825,0,3.6,10.5,21.2,23.7,21.1,10.1,4.7,2.7,2.4
Hospitality,Male & Female,2011,1275,0,2.4,8.2,18.7,28.5,18,12.2,6.9,3.3,1.8
Humanities,Male,2012,6842,0.3,1.1,5.8,14.2,21.8,20.6,14.6,10.7,6.9,4.3
Humanities,Male,2011,8516,0.3,0.9,4.8,13.3,20.2,19.8,15.9,12.1,8.2,4.8
Humanities,Female,2012,6940,0.3,2.6,10,19.1,23.4,18,13,7.6,4.1,2.2
Humanities,Female,2011,8763,0.3,2.4,9,18.7,22.2,18.3,13.4,8.3,5,2.7
Humanities,Male & Female,2012,13782,0.3,1.9,7.9,16.6,22.7,19.3,13.7,9.2,5.5,3.2
Humanities,Male & Female,2011,17279,0.3,1.7,6.9,16,21.3,19,14.6,10.2,6.6,3.7
ICT,Male,2012,29607,1.2,5.6,19.2,25.2,21,12.2,6.9,5,3.2,1.7
ICT,Male,2011,25743,1,7.8,20.2,20.4,25.1,13.8,5.6,2.7,1.7,2.7
ICT,Female,2012,23590,0.9,9,24.6,26.4,19.3,9.7,4.8,3,2.1,1.1
ICT,Female,2011,21385,0.8,11.1,26,22.8,21.8,10.3,3.7,1.7,0.9,1.7
ICT,Male & Female,2012,53197,1,7.1,21.6,25.8,20.2,11.1,5.9,4.2,2.6,1.5
ICT,Male & Female,2011,47128,0.9,9.3,22.8,21.5,23.6,12.2,4.8,2.2,1.4,2.2
Irish,Male,2012,761,0,13,24.3,32.1,23.6,5.4,1.1,0.1,0,0.4
Irish,Male,2011,874,0,10.8,28.9,29.2,17.7,9.2,1.8,0.5,0.3,1.6
Irish,Female,2012,1118,0,19.1,30.4,28.6,16.5,3.7,0.9,0.4,0.1,0.3
Irish,Female,2011,1092,0,21.8,28.7,28.9,15.3,3.7,0.7,0.2,0,0.7
Irish,Male & Female,2012,1879,0,16.7,27.8,30.1,19.4,4.4,0.9,0.3,0.1,0.3
Irish,Male & Female,2011,1966,0,16.9,28.8,29,16.4,6.2,1.1,0.3,0.2,1.1
Leisure & Tourism,Male,2012,1580,0.1,0.3,3.4,8.3,19.5,20.1,17.8,13.6,10.1,6.9
Leisure & Tourism,Male,2011,1707,0.1,0.4,2.4,8.3,16,19.4,18.8,14.8,10.2,9.7
Leisure & Tourism,Female,2012,1953,0.1,1.9,7.8,16.1,22.2,19.1,13.4,10.5,6.3,2.7
Leisure & Tourism,Female,2011,2280,0.1,2,7.6,15.2,20.9,17.2,14.6,10.8,7,4.7
Leisure & Tourism,Male & Female,2012,3533,0.1,1.2,5.8,12.6,21,19.5,15.5,11.8,8,4.6
Leisure & Tourism,Male & Female,2011,3987,0.1,1.3,5.4,12.2,18.8,18.2,16.4,12.5,8.4,6.8
Manufacturing,Male,2012,174,0,2.9,5.1,14.4,27.6,19,14.3,6.4,6.9,3.4
Manufacturing,Male,2011,268,0,0,7.5,16.4,22.4,12.3,15.7,13,5.6,7.1
Manufacturing,Female,2012,9,0,0,0,0,22.2,33.4,11.1,11.1,22.2,0
Manufacturing,Female,2011,42,0,0,7.1,16.7,26.2,16.7,9.5,7.1,14.3,2.4
Manufacturing,Male & Female,2012,183,0,2.7,5,13.6,27.3,19.7,14.2,6.6,7.6,3.3
Manufacturing,Male & Female,2011,310,0,0,7.4,16.5,22.9,12.9,14.8,12.3,6.7,6.5
Mathematics,Male,2012,336253,13.1,5.7,9.9,14.8,28.4,17.6,10,7.3,4.5,1.8
Mathematics,Male,2011,384258,15.2,5.3,11.3,15.6,26.7,16.8,10.8,7.8,4.1,1.6
Mathematics,Female,2012,339536,12.8,5.3,10,14.6,28,18.8,10.2,7.1,4.3,1.7
Mathematics,Female,2011,388686,14.8,5.2,11.3,15.4,26.7,17.9,10.9,7.2,3.8,1.6
Mathematics,Male & Female,2012,675789,12.9,5.5,9.9,14.7,28.3,18.1,10.1,7.2,4.4,1.8
Mathematics,Male & Female,2011,772944,15,5.2,11.3,15.5,26.8,17.3,10.9,7.5,3.9,1.6
Mathematics (Addit.),Male,2012,1874,0.1,18.8,29.6,23.9,16.7,5.2,1.7,0,0,4.1
Mathematics (Addit.),Male,2011,7107,0.3,12.7,20.1,20.5,22.4,9.9,6.2,4,1.7,2.5
Mathematics (Addit.),Female,2012,1562,0.1,18.1,31.9,25.6,16.8,4.1,1.5,0,0,2
Mathematics (Addit.),Female,2011,6175,0.2,9.1,17.6,19.3,24.8,11.8,7.9,4.8,2.4,2.3
Mathematics (Addit.),Male & Female,2012,3436,0.1,18.5,30.6,24.7,16.7,4.8,1.6,0,0,3.1
Mathematics (Addit.),Male & Female,2011,13282,0.3,11,18.9,20,23.5,10.8,7,4.3,2.1,2.4
Media/Film/TV,Male,2012,30365,1.2,1.5,7.9,19.7,27.1,20.4,11.6,6.3,3.2,2.3
Media/Film/TV,Male,2011,33344,1.3,1.5,8.3,19.6,25.8,20.2,11.9,6.6,3.5,2.6
Media/Film/TV,Female,2012,31315,1.2,5.3,18.7,27.9,24.7,12.7,5.4,2.7,1.5,1.1
Media/Film/TV,Female,2011,34089,1.3,4.6,18,27.5,23.8,13.3,6.7,3.2,1.7,1.2
Media/Film/TV,Male & Female,2012,61680,1.2,3.5,13.3,23.9,25.9,16.4,8.5,4.5,2.3,1.7
Media/Film/TV,Male & Female,2011,67433,1.3,3.1,13.1,23.7,24.8,16.7,9.2,4.9,2.6,1.9
Music,Male,2012,23350,0.9,8.8,22.2,25.5,19.4,12.1,6.6,2.9,1.5,1
Music,Male,2011,24623,1,8.5,21.9,25.5,19,11.4,7.1,3.5,1.8,1.3
Music,Female,2012,23018,0.9,10.5,25.3,27.2,17.8,10.5,5,2.2,0.9,0.6
Music,Female,2011,23476,0.9,10.5,25.3,26.9,17.2,10,5.7,2.7,1.1,0.6
Music,Male & Female,2012,46368,0.9,9.6,23.8,26.3,18.6,11.3,5.8,2.6,1.2,0.8
Music,Male & Female,2011,48099,0.9,9.5,23.5,26.2,18.1,10.7,6.5,3.1,1.4,1
Performing / Expres. Arts,Male,2012,3499,0.1,4.1,8.6,14.5,21.5,18.1,15.1,10.6,5,2.5
Performing / Expres. Arts,Male,2011,3962,0.2,4,9.4,16.5,20.8,19.9,14,8.4,4.5,2.5
Performing / Expres. Arts,Female,2012,17347,0.7,6.4,14.7,20.5,23.5,18,9.7,4.5,1.8,0.9
Performing / Expres. Arts,Female,2011,18277,0.7,7.2,13.9,19.5,21.7,18.2,10.8,5.4,2.3,1
Performing / Expres. Arts,Male & Female,2012,20846,0.4,6,13.7,19.5,23.1,18.1,10.6,5.5,2.4,1.1
Performing / Expres. Arts,Male & Female,2011,22239,0.4,6.7,13,19,21.6,18.4,11.4,5.9,2.7,1.3
PE,Male,2012,66431,2.6,2.9,16.1,26,25.4,17.5,8.5,2.7,0.6,0.3
PE,Male,2011,70601,2.8,5.7,12.4,25.9,26.5,17.6,8.4,2.5,0.6,0.4
PE,Female,2012,35149,1.3,5.7,19.3,24.2,22.6,16.2,8.1,2.9,0.7,0.3
PE,Female,2011,37768,1.4,10.3,15.5,23.7,22.4,16.1,8.2,2.8,0.7,0.3
PE,Male & Female,2012,101580,1.9,3.9,17.2,25.3,24.5,17,8.4,2.8,0.6,0.3
PE,Male & Female,2011,108369,2.1,7.3,13.5,25.1,25.1,17,8.4,2.6,0.7,0.3
Physics,Male,2012,83976,3.3,19.1,27.1,28.1,19,5.3,1,0.3,0.1,0
Physics,Male,2011,75657,3,20.8,27.4,27.4,18.2,5,0.8,0.3,0,0.1
Physics,Female,2012,73401,2.8,19.2,27.2,28.2,18.5,5.5,1.1,0.2,0.1,0
Physics,Female,2011,64526,2.5,21.7,27.1,26.9,17.7,5.2,1,0.2,0.1,0.1
Physics,Male & Female,2012,157377,3,19.2,27.1,28.1,18.8,5.4,1.1,0.2,0.1,0
Physics,Male & Female,2011,140183,2.7,21.2,27.3,27.2,18,5,0.9,0.3,0,0.1
Prep. Life & Work,Male,2012,4224,0.2,2.7,10.7,27,27.7,13.2,7.7,5.1,3.7,2.2
Prep. Life & Work,Male,2011,4234,0.2,1.7,11.6,29.4,23.8,12.8,8,6,3.7,3
Prep. Life & Work,Female,2012,4097,0.2,5.2,21,33.8,21.7,9.1,4.3,2.5,1.5,0.9
Prep. Life & Work,Female,2011,4307,0.2,4.2,21.9,33.3,19.8,10.3,4.5,3.3,1.6,1.1
Prep. Life & Work,Male & Female,2012,8321,0.2,3.9,15.8,30.4,24.7,11.1,6.1,3.8,2.6,1.6
Prep. Life & Work,Male & Female,2011,8541,0.2,3,16.8,31.3,21.8,11.6,6.2,4.6,2.7,2
Religious ,Male,2012,109442,4.3,7.6,16.6,22.1,20.8,13.5,8.6,5.4,3.2,2.2
Religious ,Male,2011,101360,4,8,16.7,22.1,20.4,13.2,8.4,5.6,3.4,2.2
Religious ,Female,2012,129681,4.9,15.3,23.5,23.5,17.1,9.5,5.4,3.1,1.6,1
Religious ,Female,2011,120614,4.6,14.8,23.2,23.2,17.3,9.8,5.6,3.3,1.8,1
Religious ,Male & Female,2012,239123,4.6,11.8,20.3,22.9,18.7,11.4,6.8,4.2,2.4,1.5
Religious ,Male & Female,2011,221974,4.3,11.7,20.2,22.7,18.7,11.4,6.9,4.3,2.5,1.6
Science,Male,2012,270747,10.6,1.6,6.6,17.3,32.6,21.2,11.4,5.8,2.5,1
Science,Male,2011,199849,7.9,2.1,8,18.3,32.5,18.4,10.8,6.2,2.7,1
Science,Female,2012,281757,10.6,2.4,8.9,19.9,31.9,19.3,9.9,4.8,2,0.9
Science,Female,2011,206128,7.9,3,10.1,20.2,31.6,17.4,9.5,5.2,2.2,0.8
Science,Male & Female,2012,552504,10.6,2,7.8,18.6,32.3,20.2,10.6,5.3,2.3,0.9
Science,Male & Female,2011,405977,7.9,2.6,9,19.3,32,17.9,10.2,5.6,2.5,0.9
Social Science ,Male,2012,12268,0.5,1.9,9.1,18.4,22.5,18.5,12.4,8.4,5.5,3.3
Social Science ,Male,2011,11003,0.4,1.9,9.7,19.1,23.1,17.5,12.2,8,4.9,3.6
Social Science ,Female,2012,25672,1,4.2,15.2,23.7,21.7,15.1,9.1,5.6,3.6,1.8
Social Science ,Female,2011,23902,0.9,4.4,14.7,23.5,22.2,14.7,9.5,5.9,3.1,2
Social Science ,Male & Female,2012,37940,0.7,3.5,13.2,22,21.9,16.2,10.2,6.5,4.2,2.3
Social Science ,Male & Female,2011,34905,0.7,3.7,13.1,22,22.5,15.6,10.4,6.5,3.7,2.5
Spanish,Male,2012,30225,1.2,11.8,15.4,19.2,22.4,16.9,8.3,3.8,1.6,0.6
Spanish,Male,2011,27410,1.1,11.7,16.1,19.6,21.7,15.4,8.6,4.2,1.9,0.8
Spanish,Female,2012,42381,1.6,16.7,19,21.2,20.8,13.6,5.4,2.2,0.8,0.3
Spanish,Female,2011,38611,1.5,17.4,19.9,21.3,20.5,11.9,5.4,2.4,0.8,0.4
Spanish,Male & Female,2012,72606,1.4,14.7,17.4,20.4,21.5,15,6.6,2.9,1.1,0.4
Spanish,Male & Female,2011,66021,1.3,15,18.4,20.6,20.9,13.4,6.7,3.2,1.2,0.6
Statistics,Male,2012,26309,1,4.9,19,26.7,26.9,13.8,4.6,1.7,0.9,1.5
Statistics,Male,2011,28045,1.1,5,18.4,25.7,27.8,12.8,5,2.2,1.3,1.8
Statistics,Female,2012,24311,0.9,6.7,21.7,28.5,25.9,10.9,3.3,1.2,0.7,1.1
Statistics,Female,2011,25355,1,6.6,20.3,26.7,26.8,10.8,4.3,1.9,1,1.6
Statistics,Male & Female,2012,50620,1,5.8,20.2,27.6,26.4,12.4,4.1,1.4,0.8,1.3
Statistics,Male & Female,2011,53400,1,5.8,19.3,26.2,27.3,11.8,4.7,2,1.2,1.7
Welsh: 1st Language,Male,2012,2516,0.1,1.8,7.5,21,32.2,23.2,9.7,3.4,1,0.2
Welsh: 1st Language,Male,2011,2552,0.1,1.6,7.1,19.9,35.2,24.4,8.1,2.8,0.8,0.1
Welsh: 1st Language,Female,2012,2708,0.1,4,15.9,30.7,30.4,13.9,3.5,1.2,0.2,0.2
Welsh: 1st Language,Female,2011,2740,0.1,4.7,16.2,29.4,31.3,13.8,3.4,1,0.2,0
Welsh: 1st Language,Male & Female,2012,5224,0.1,2.9,11.9,26,31.3,18.3,6.6,2.2,0.6,0.2
Welsh: 1st Language,Male & Female,2011,5292,0.1,3.2,11.8,24.8,33.2,19,5.6,1.9,0.4,0.1
Welsh: 2nd Language,Male,2012,4360,0.2,5.4,12.7,17.7,27,15.4,10.6,6.1,3.2,1.9
Welsh: 2nd Language,Male,2011,4422,0.2,6.7,10.7,12.9,31,18.6,10.1,6.1,2.8,1.1
Welsh: 2nd Language,Female,2012,5383,0.2,12.1,22.8,21.9,25.6,9.5,4.9,1.7,0.7,0.8
Welsh: 2nd Language,Female,2011,5585,0.2,12.9,19.3,18.3,29.3,11.6,4.9,2.1,0.9,0.7
Welsh: 2nd Language,Male & Female,2012,9743,0.2,9.1,18.3,20,26.2,12.2,7.4,3.7,1.8,1.3
Welsh: 2nd Language,Male & Female,2011,10007,0.2,10.2,15.4,16,30,14.7,7.2,3.9,1.7,0.9
Welsh Literature,Male,2012,1741,0.1,3.8,11.8,19.6,29.2,18.1,10.4,5,1.1,1
Welsh Literature,Male,2011,1828,0.1,3,10.2,16.2,36.8,20.9,8.4,3.1,0.9,0.5
Welsh Literature,Female,2012,2225,0.1,9.1,18.8,25.3,27.2,11.2,5.5,2.2,0.4,0.3
Welsh Literature,Female,2011,2247,0.1,8.7,21,21.1,29.8,13.5,4,1.1,0.4,0.4
Welsh Literature,Male & Female,2012,3966,0.1,6.8,15.7,22.8,28.1,14.2,7.7,3.4,0.7,0.6
Welsh Literature,Male & Female,2011,4075,0.1,6.1,16.2,18.9,32.9,16.9,5.9,2,0.7,0.4
Other modern lang.,Male,2012,13180,0.5,31.9,23.6,17,12.2,7.4,4.1,1.9,1.2,0.7
